GenderMainDriver,MaritalMainDriver,Claim
Male,Single,1638.81
Female,Married,1783.8
Female,Married,2469.17
Male,Married,1540.45
Female,Married,939.98
Male,Married,694.56
Female,Single,50.01
Female,Married,75.53
Male,Married,1482.86
Female,Married,50
Female,Married,650.46
Male,Single,1032.58
Male,Single,436.33
Female,Married,570.7
Male,Single,1831
Female,Married,780.51
Male,Single,1880.09
Male,Married,2910.23
Female,Married,1408.48
Female,Married,691.45
Female,Married,319.47
Female,Married,264.19
Female,Married,1673.51
Male,Married,2760.18
Male,Single,1323.14
Male,Single,1355.94
Male,Married,481.69
Male,Married,1694.22
Male,Married,1420.16
Male,Single,1783.04
Female,Married,786.89
Male,Single,468.34
Male,Married,1185.77
Male,Single,1331.95
Male,Married,4980.48
Female,Married,1591.65
Female,Married,1038.33
Male,Married,350.87
Male,Single,370.39
Male,Single,496.28
Male,Married,669.67
Male,Married,2213.11
Male,Married,567.14
Female,Married,1157.84
Male,Married,1379.76
Male,Married,201.8
Male,Married,607.25
Female,Single,272.58
Male,Other,2839.53
Male,Married,781.81
Male,Married,477.75
Male,Married,422.22
Male,Married,1267.67
Female,Married,533.57
Male,Married,553.35
Male,Married,1917.86
Female,Married,1700.46
Male,Married,611.06
Male,Married,1017.67
Male,Married,760.92
Male,Other,408.81
Female,Married,675.15
Male,Married,595.12
Male,Single,1323.38
Male,Married,1228.9
Male,Married,3167.95
Male,Married,4750.61
Male,Married,1502.94
Male,Married,753.69
Male,Married,2114.06
Female,Married,1455.89
Male,Single,1054.77
Female,Married,163.17
Male,Married,50.86
Male,Single,50
Male,Married,123.31
Male,Married,659.08
Male,Married,50
Female,Single,50.07
Male,Married,2292.96
Male,Married,206.31
Male,Married,288.61
Male,Married,50
Male,Other,7091.26
Male,Married,1120.13
Male,Single,142.86
Male,Single,50
Male,Single,402.2
Female,Married,50
Male,Married,50
Male,Married,1283.6
Male,Married,2135.52
Male,Single,565.31
Male,Married,186.97
Male,Married,1238.58
Female,Single,362.09
Female,Married,1984.31
Male,Single,50
Male,Single,50
Female,Married,1859.29
Male,Married,675.69
Female,Married,2159.63
Female,Married,3090.99
Male,Single,320.39
Male,Married,904.93
Female,Married,872.71
Male,Other,712.05
Male,Married,1469.26
Male,Single,657.85
Male,Single,1638.88
Male,Married,1405.65
Female,Married,59.35
Male,Single,534.51
Male,Single,1385.13
Male,Married,4585.75
Male,Married,537.95
Male,Single,478.05
Male,Single,354.62
Female,Married,515.7
Female,Single,232.59
Male,Single,616.57
Male,Married,50
Female,Married,907.36
Male,Married,956.31
Male,Married,838.19
Male,Married,894
Female,Married,237.32
Female,Single,103.13
Male,Married,530.09
Male,Married,956.88
Male,Single,791.74
Male,Married,546.58
Female,Married,432.96
Male,Single,756.43
Female,Married,614.5
Male,Married,946.38
Male,Single,575.07
Female,Married,82.52
Female,Single,627.12
Female,Married,915.56
Male,Married,680.82
Male,Other,758.75
Male,Married,468.76
Female,Single,113.02
Female,Married,1055.97
Male,Other,1684.72
Female,Single,1641.96
Female,Married,455.11
Female,Other,652.92
Female,Married,605.58
Male,Married,453.68
Male,Married,522.8
Female,Married,464.01
Female,Single,1638.84
Female,Single,199.89
Female,Single,51.72
Male,Single,1330.45
Male,Married,375.44
Male,Single,446.1
Female,Married,963.58
Female,Married,1015.6
Male,Single,1157.15
Male,Married,590.98
Female,Married,912.17
Male,Married,1304.71
Female,Married,594.26
Male,Married,1355.08
Male,Married,1572.94
Female,Married,723.14
Male,Single,491.01
Male,Married,72.18
Male,Married,3480.41
Male,Married,511.48
Female,Married,436.39
Female,Married,740.89
Male,Other,330.44
Male,Other,1375.85
Female,Single,320.55
Female,Married,429.69
Male,Other,434.19
Male,Married,582.35
Male,Married,1474.99
Male,Single,652.16
Female,Married,1894.84
Male,Married,512.59
Male,Married,344.41
Female,Married,725.12
Male,Married,71.98
Female,Single,52.71
Male,Single,1272.96
Female,Married,1288.63
Male,Married,643.31
Male,Married,859.13
Female,Married,599.24
Male,Single,643.62
Male,Married,896.32
Female,Married,392.79
Female,Married,497.7
Male,Single,176.56
Female,Other,480.83
Female,Married,613.44
Male,Married,642.45
Female,Married,671.05
Female,Married,437.46
Male,Single,627.68
Male,Single,551.7
Male,Married,200.18
Female,Married,714.94
Male,Other,582.07
Female,Married,785.71
Female,Married,801.98
Male,Married,1646.97
Male,Other,897.1
Female,Married,50.34
Female,Married,711.85
Female,Married,3217.72
Female,Married,515.02
Male,Single,311.41
Male,Married,666.33
Female,Single,146.06
Female,Other,1243.62
Male,Single,901.9
Male,Married,962.71
Female,Married,1003.19
Male,Single,1603.74
Male,Single,292.49
Female,Married,197.35
Male,Married,2174
Female,Single,703.64
Male,Single,798.9
Female,Married,491.72
Female,Married,790.06
Female,Married,107.8
Male,Married,1233.83
Female,Married,751.75
Male,Married,692.84
Female,Married,50.92
Male,Married,568.04
Female,Married,2367.61
Female,Married,1319.45
Female,Married,725.71
Male,Married,1224.7
Female,Married,1118.92
Female,Married,980.99
Female,Married,941.02
Male,Married,944.64
Male,Married,458.45
Male,Married,996.24
Male,Single,1528.68
Female,Married,520.76
Female,Married,446.71
Male,Married,817.01
Female,Married,966.86
Male,Single,406.24
Male,Married,915.02
Female,Married,338.76
Male,Married,161.8
Male,Married,2946.85
Male,Single,1068.73
Female,Married,652.7
Female,Married,940.49
Male,Married,1315.61
Female,Single,72.75
Male,Married,1291.32
Male,Married,1190.94
Female,Married,1102.11
Male,Married,741.12
Female,Single,320.11
